COMMON NAME,CHEMICAL NAME,SYNONYM,CAS NO,CHEMICAL             FORMULA,PURITY,PACKAGING SIZE,GRADE STANDARD,FORM,PACKAGING TYPE,USAGE/  APPLICATION,MOLECULAR WEIGHT,MINIMUM ORDER QUANTITY,DELIVERY TIME
Vildagliptin Dimer,"(2S,2'S)-1,1'-(2,2'-((3-Hydroxyadamantan-1-yl)azanediyl)bis(acetyl))bis(pyrrolidine-2-carbonitrile)","2-Pyrrolidinecarbonitrile,1,1`-[[(3-hydroxytricyclo[3.3.1.13,7]dec-1-yl)imino]bis(1-oxo-2,1-ethanediyl)]bis-,(2S,2`S);Vildagliptin Dimer;Vildagliptin Impurity D",1036959-23-5,C24H33N5O3,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,439.55,25.0mg,Ready stock
Vildagliptin Nitroso impurity,"N-(2-((S)-2-Cyanopyrrolidin-1-yl)-2-oxoethyl)-N-((1r,3R,5R,7S)-3-hydroxyadamantan-1-yl)nitrous amide","N-Nitroso Vildagliptin; Vildagliptin Nitroso impurity;2-Pyrrolidinecarbonitrile, 1-[2-[(3-hydroxytricyclo[3.3.1.13,7]dec-1-yl)nitrosoamino]acetyl]-, (2S)",3034601-47-0,C17H24N4O3,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,332.4,25.0mg,Ready stock
Linagliptin Impurity 44,"(R)-8-(3-Aminopiperidin-1-yl)-7-(but-2-yn-1-yl)-3-methyl-3,7-dihydro-1H-purine-2,6-dione","1H-Purine-2,6-dione;8-[(3R)-3-amino-1-piperidinyl]-7-(2-butyn-1-yl)-3,7-dihydro-3-methyl;8-[(3R)-3-Amino-1-piperidinyl]-7-(2-butyn-1-yl)-3,7-dihydro-3-methyl-1H-purine-2,6-dione",1791405-13-4,C15H20N6O2,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,316.37,25.0mg,Ready stock
Linagliptin Impurity 52,"7-(But-2-yn-1-yl)-3-methyl-3,7-dihydro-1H-purine-2,6-dione","7-But-2-ynyl-3-methylpurine-2,6-dione; 7-(But-2-yn-1-yl)-3-methyl-1H-purine-2,6(3H,7H)-dione; 7-(2-butyn-1-yl)-3,7-dihydro-3-methyl-1H-Purine-2,6-dione; 7-(2-butynyl)-3-methyl-3,7-dihydropurine-2,6-dione",586408-08-4,C10H10N4O2,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,218.22,25.0mg,Ready stock
Vildagliptin R Isomer,(2R)-1-(2-((3-Hydroxyadamantan-1-yl)amino)acetyl)pyrrolidine-2-carbonitrile,(R)-1-[N-(3-Hydroxyadamantan-1-yl)glycyl]-2-pyrrolidinecarbonitrile; (2R)-1-(2-[(3-hydroxyadamantan-1-yl)amino]acetyl)pyrrolidine-2-carbonitrile; (2R)-1-((3-hydroxyadamantan-1-yl)glycyl)pyrrolidine-2-carbonitrile; (R)-Vildagliptin; Vildagliptin (2R)-Isomer; Vildagliptin R Isomer,1036959-27-9,C17H25N3O2,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,303.4,25.0mg,Ready stock
Linagliptin S Isomer,"(S)-8-(3-Aminopiperidin-1-yl)-7-(but-2-yn-1-yl)-3-methyl-1-((4-methylquinazolin-2-yl)methyl)-1H-purine-2,6(3H,7H)-dione","(S)-Linagliptin; (S)-8-(3-Aminopiperidin-1-yl)-7-(but-2-yn-1-yl)-3-methyl-1-((4-methylquinazolin-2-yl)methyl)-3,7-dihydro-1H-purine-2,6-dione; 8-[(3S)-3-Aminopiperidin-1-yl]-7-(but-2-yn-1-yl)-3-methyl-1-[(4-methylquinazolin-2-yl)methyl]-2,3,6,7-tetrahydro-1H-purine-2,6-dione; (S)-8-(3-Aminopiperidin-1-yl)-7-(but-2-yn-1-yl)-3-methyl-1-((4-methylquinazolin-2-yl)methyl)-1H-purine-2,6(3H,7H)-dione",668270-11-9,C25H28N8O2,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,472.54,25.0mg,Ready stock
Valsartan Methyl ester impurity,(S)-N-Valeryl-N-([2'-(1H-tetrazole-5-yl)biphen-5-yl]methyl)-valine methyl ester,"3-Methyl-(2S)-2-{pentanoyl-[2'-(1H-tetrazol-5-yl)-biphenyl-4-ylmethyl]-amino}-butyric acid methyl ester; N-(1-Oxopentyl)-N-[[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl]-L-valine methyl ester; Methyl N-(1-oxopentyl)-N-[[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl]-L-valinate; Methyl 3-methyl-(2S)-2-{pentanoyl-[2'-(1H-tetrazol-5-yl)-biphenyl-4-ylmethyl]-amino}-butyrate; Valsartan Related Compound E",137863-17-3,C25H31N5O3,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,449.55,25.0mg,Ready stock
Valsartan Ethyl ester impurity,(S)-N-Valeryl-N-([2'-(1H-tetrazole-5-yl)biphen-6-yl]methyl)-valine ethyl ester,"N-(1-Oxopentyl)-N-[[2`-(2H-tetrazol-5-yl)[1,1`-biphenyl]-4-yl]methyl]-L-valine Ethyl Ester;(S)-ethyl 2-(N-((2`-(1H-tetrazol-5-yl)-[1,1`-biphenyl]-4-yl) methyl) pentanamido)-3-methylbutanoate",1111177-30-3,C26H33N5O3,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,463.57,25.0mg,Ready stock
Valsartan Isopropyl  ester impurity,(S)-N-Valeryl-N-([2'-(1H-tetrazole-5-yl)biphen-7-yl]methyl)-valine isopropyl ester,"N-(1-Oxopentyl)-N-[[2’-(2H-tetrazol-5-yl)[1,1’-biphenyl]-4-yl]methyl]-L-valine 1-Methylethyl ester; isopropyl N-((2'-(1H-tetrazol-5-yl)-[1,1'-biphenyl]-4-yl)methyl)-N-pentanoyl-L-valinate",1245820-09-0,C27H35N5O,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,477.6,25.0mg,Ready stock
Sacubitril Di acid Impurity,"(2R,4S)-5-([1,1'-Biphenyl]-4-yl)-4-(3-carboxypropanamido)-2-methylpentanoic acid","Desethyl Sacubitril; (2R,4S)-4-[(3-Carboxy-1-oxopropyl)amino]-4-[(p-phenylphenyl)methyl]-2-methylbutanoic Acid; [S-(R*,S*)]-?-[(3-Carboxy-1-oxopropyl)amino]-?-methyl-[1,1'-Biphenyl]-4-pentanoic Acid; (2R,4S)-5-([1,1'-biphenyl]-4-yl)-4-(3-carboxypropanamido)-2-methylpentanoic acid; Sacubitril Diacid Impurity",149709-44-4,C22H25NO5,98%,25.0mg/50.0mg/100.0mg,Lab grade,Solid,Pouch,Analytical stanndard,383.44,25.0mg,Ready stock
