S.No.,Name of the Product,CAS No.,API usage,,
1,"N, N-Carbonyl di imidazole (CDI)",530-62-1,Multi use,,
2,Medoxomil chloride (DMDO.Cl),80841-78-7,Olmesartan,,
3,5-[(2R)-2-Aminopropyl)-2-methoxybenzene-1-sulfonamide,112101-81-2,Tamsulosin,,
4,Medoxomil alcohol (DMDO.OH),91526-18-0,Olmesartan,,
5,"2-(4-Ethyl-1-piperazinyl)-4-(4-fluorophenyl)-5,6,7,8,9,10-hexahydrocycloocta[b]pyridine",132810-10-7,Udenafil,,
6,3-[[[5-(Aminocarbonyl)-1-methyl-3-propyl-1H-pyrazol-4-yl]amino]carbonyl]-4-propoxy-benzenesulfonyl Chloride,374776-34-8,Udenafil,,
7,Methyl 2-propoxybenzoate,1041642-22-1,Multi use,,
8,2-Propoxybenzoic Acid,2100-31-4,Multi use,,
9,1-Methyl-4-(2-propoxybenzamido)-3-propyl-1H-pyrazole-5-carboxamide,139756-04-0,Udenafil / Sildenafil,,
10,3-Hydroxy acetophenone,121-71-1,Phenyl ephrin,,
11,R-Quinquidinone,,Solifenacin,,
12,RHQ,,Solifenacin,,
13,Any impurities,NA,NA,,
14,Any complex molecules,NA,NA,,
15,CRO molecules,NA,NA,,
16,CDMO molecules,NA,NA,,
17,"8-Bromo-3,9-dihydro-3-methyl-1H-purine-2,6-dione",93703-24-3,Linagliptin,,
18,"8-Bromo-7-(but-2-yn-1-yl)-3-methyl-1-((4-methylquinazolin-2-yl) methyl)-1H-purine-2,6(3H,7H)-dione",853029-57-9,Linagliptin,,
19,"8-Bromo-7-(but-2-yn-1-yl)-3-methyl-1H-purine-2,6(3H,7H)-dione",666816-98-4,Linagliptin,,
20,2-Bromo benzene sulfonyl chloride,2905-25-1,Sparsentan,,
21,"2-Bromo-N-(4,5-dimethylisoxazol- 3-yl) benzene sulfonamide",195447-72-4,Sparsentan,,
22,"2-Bromo-N-(4,5-dimethylisoxazol-3-yl)-N-(methoxymethyl)benzenesulfonamide",415697-57-3,Sparsentan,,
23,(S)-1-(2-Chloro acetyl) Pyrrolidine-2-carbonitrile,207557-35-5,Vildagliptin,,
24,3-Amino-1-adamantanol,702-82-9,Vildagliptin,,
25,2-Chloro benzoxazole,615-18-9,Multi use,,
26,Ethyl chloroformate,541-41-3,Multi use,,
27,Benzyl chloroformate,501-53-1,Multi use,,
28,Hexyl chloroformate,6092-54-2,Multi use,,
29,D(+)-Methyl-alpha(2-thienylamino)2-chlorophenyl) acetate hydrochloride,141109-19-5,Clopidogrel Bisulphate,,
30,"2,4-Difluoro-alpha-(1H-1,2,4-Triazolyl)-acetophenone",86404-63-9,Fluconazole,,
31,6-Cyclohexyl-4-methyl-2H-pyran-2-one,14818-35-0,Ciclopirox,,
32,3-Methyl xanthine,1076-22-8,Linagliptin,,
33,3-Amino-4-pyrazolecarboxamide hemisulfate,27511-79-1,Allopurinol,,
34,3-Benzyl-6-bromo-2-methoxyquinoline,654655-69-3,Bedaquiline,,
35,3-Dimethylamino-1-(naphthalen-1-yl) propan-1-one hydrochloride,5409-58-5,Bedaquiline,,
36,2-Ethoxyethyl-4-methylbenzenesulfonate,17178-11-9,Bilastine,,
37,2-Piperidin-4-yl-1H-benzimidazole,38385-95-4,Bilastine,,
38,Methyl-2-(4-(2-chloroethyl) phenyl)-2-methylpropanoate,1181267-33-3,Bilastine,,
39,(S)-N-Glycidyl phthalimide,161596-47-0,Rivaroxaban,,
40,5-Chloro-Thiophene-2-carboxylic acid,24065-33-6,Rivaroxaban,,
41,4-(Benzyloxy) Phenyl hydrazine hydrochloride,52068-30-1,Etrasimod,,
42,"2-Chloromethyl-3,4-dimethoxypyridine hydrochloride",72830-09-2,Pantoprazole,,
43,"4,5,6,7-Tetrahydrothieno[3,2-C] Pyridine hydrochloride",28783-41-7,Clopidogrel / Prasugrel Sulphate,,
44,5-Bromo-7-Iodo-1H-Indole,123020-20-2,Vemurafenib,,
45,2-Benzyl acrylic acid,5669-19-2,Racecadotril,,
46,2-Butyl-4-chloro-5-formyl imidazole,83857-96-9,Losartan Potassium,,
47,"2-Tertiary butyl 2,7-diazaspiro [3,5] Nonane 7-carboxylate hydrochloride",1023301-84-9,Selpercatinib / Pralsetinib,,
48,"2,4-Diamino-6-(hydroxymethyl)pteridine hydrochloride",73978-41-3,Methotrexate,,
49,2-Methoxy-5-Sulfonyl Benzoic acid,22117-85-7,Levosulpride,,
50,2-Amino-4-Methyl Benzoic acid,2458-12-0,Nilotinib,,
51,"1,1-carbonyl diimidazole",530-62-1,Dabigatran,,
52,4-Aminobenzonitrile,873-74-5,Dabigatran,,
53,Methyl nicotinate,93-60-7,Rubefacient,,
54,4-Amino-3-ethylphenol,61638-00-4,NA,,
55,"4-Bromomethyl-1,2-dihydroquinoline-2-one",02-10-4876,Rebamipide,,
56,Diethyl 2-acetamidomalonate,1068-90-2,Rebamipide,,
57,(R)-3-(tert-Butoxy methyl)piperazin-2-one,1222102-49-9,Evogliptin,,
